ticket_id,train_id,travel_date,passenger_name,class,price,train_name,source,destination,days_of_operation,total_seats,booked_seats
1114,1004,2023-01-27,Sai Kumar,AC First Class,941,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,22
1117,1004,2023-01-27,Arjun Chopra,AC 2 Tier,702,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,13
1138,1004,2023-01-10,Vivaan Chopra,AC 2 Tier,1364,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,1
1147,1004,2023-01-23,Aditya Mehta,AC 2 Tier,1224,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,48
1157,1004,2023-01-14,Shaurya Chopra,AC 2 Tier,1475,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,23
1158,1004,2023-01-21,Reyansh Singh,AC 3 Tier,746,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,46
1170,1004,2023-01-02,Vivaan Mehta,AC First Class,990,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,23
1176,1004,2023-01-31,Shaurya Mehta,Sleeper,1464,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,39
1185,1004,2023-01-31,Aarav Kumar,AC First Class,712,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,45
1186,1004,2023-01-28,Vihaan Mehta,AC First Class,1189,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,2
1192,1004,2023-01-02,Krishna Mehta,AC 3 Tier,384,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,7
1196,1004,2023-01-31,Shaurya Verma,AC 3 Tier,1013,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,31
1199,1004,2023-01-27,Arjun Reddy,AC 3 Tier,1165,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,1
1208,1004,2023-01-09,Sai Reddy,AC First Class,387,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,49
1216,1004,2023-01-15,Arjun Kumar,Sleeper,1125,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,25
1219,1004,2023-01-22,Krishna Gupta,AC First Class,350,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,40
1229,1004,2023-01-12,Vivaan Kumar,AC 2 Tier,1429,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,7
1237,1004,2023-01-15,Aditya Sharma,AC 2 Tier,838,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,47
1240,1004,2023-01-22,Sai Patel,AC First Class,1048,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,40
1247,1004,2023-01-28,Vivaan Patel,Sleeper,1141,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,18
1277,1004,2023-01-12,Ishaan Singh,AC 2 Tier,1119,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,7
1280,1004,2023-01-17,Aarav Chopra,AC 3 Tier,608,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,15
1289,1004,2023-01-20,Aarav Verma,Sleeper,724,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,15
1292,1004,2023-01-21,Sai Kumar,Sleeper,427,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,18
1293,1004,2023-01-20,Vivaan Mehta,AC 3 Tier,494,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,34
1295,1004,2023-01-06,Ishaan Mehta,AC 2 Tier,338,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,46
1297,1004,2023-01-02,Aarav Singh,AC 2 Tier,233,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,10
1306,1004,2023-01-24,Shaurya Singh,AC 2 Tier,582,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,29
1307,1004,2023-01-23,Arjun Patel,AC 2 Tier,369,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,48
1317,1004,2023-01-25,Vihaan Das,AC 2 Tier,1015,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,40
1330,1004,2023-01-22,Ishaan Chopra,AC 3 Tier,1329,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,44
1339,1004,2023-01-20,Reyansh Kumar,AC 2 Tier,818,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,18
1340,1004,2023-01-08,Arjun Reddy,AC First Class,349,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,2
1342,1004,2023-01-07,Vihaan Patel,AC 2 Tier,853,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,12
1348,1004,2023-01-17,Sai Sharma,AC 2 Tier,1218,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,3
1351,1004,2023-01-20,Ishaan Gupta,Sleeper,420,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,15
1352,1004,2023-01-05,Reyansh Singh,AC First Class,949,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,28
1356,1004,2023-01-12,Reyansh Patel,AC 2 Tier,495,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,7
1366,1004,2023-01-11,Arjun Gupta,AC First Class,617,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,23
1367,1004,2023-01-17,Aarav Das,Sleeper,482,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,21
1369,1004,2023-01-11,Ishaan Mehta,AC 2 Tier,1318,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,20
1382,1004,2023-01-21,Arjun Kumar,AC 2 Tier,784,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,23
1384,1004,2023-01-29,Vihaan Kumar,AC First Class,1214,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,16
1388,1004,2023-01-09,Reyansh Singh,AC 2 Tier,532,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,42
1393,1004,2023-01-08,Shaurya Chopra,AC 2 Tier,818,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,34
1399,1004,2023-01-25,Krishna Gupta,AC 3 Tier,1420,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,48
1404,1004,2023-01-26,Aditya Reddy,AC 3 Tier,1251,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,47
1405,1004,2023-01-15,Reyansh Mehta,AC First Class,831,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,48
1409,1004,2023-01-06,Aarav Patel,AC 2 Tier,983,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,46
1410,1004,2023-01-28,Arjun Patel,Sleeper,1304,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,18
1412,1004,2023-01-17,Vihaan Patel,Sleeper,246,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,21
1418,1004,2023-01-15,Aditya Das,AC 3 Tier,315,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,48
1423,1004,2023-01-02,Shaurya Das,AC 2 Tier,1052,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,10
1424,1004,2023-01-05,Arjun Mehta,AC 3 Tier,1301,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,42
1425,1004,2023-01-08,Shaurya Patel,AC 3 Tier,1148,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,37
1429,1004,2023-01-22,Aditya Singh,Sleeper,585,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,37
1441,1004,2023-01-06,Vihaan Verma,AC 3 Tier,1319,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,25
1442,1004,2023-01-06,Vivaan Sharma,Sleeper,352,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,39
1445,1004,2023-01-12,Arjun Mehta,AC First Class,232,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,49
1451,1004,2023-01-19,Arjun Reddy,AC 2 Tier,365,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,31
1453,1004,2023-01-18,Vihaan Singh,Sleeper,550,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,22
1467,1004,2023-01-12,Aarav Verma,AC 3 Tier,378,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,3
1471,1004,2023-01-13,Arjun Gupta,AC 3 Tier,1371,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,50
1474,1004,2023-01-09,Vihaan Patel,AC First Class,357,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,49
1494,1004,2023-01-26,Arjun Singh,AC First Class,913,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,34
1495,1004,2023-01-04,Krishna Verma,AC 2 Tier,337,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,15
1499,1004,2023-01-21,Vihaan Patel,AC First Class,1010,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,4
1501,1004,2023-01-13,Krishna Das,AC 3 Tier,770,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,50
1529,1004,2023-01-31,Ishaan Patel,Sleeper,390,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,39
1531,1004,2023-01-27,Reyansh Patel,AC 2 Tier,861,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,13
1534,1004,2023-01-01,Ishaan Mehta,AC First Class,1134,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,7
1556,1004,2023-01-17,Reyansh Verma,AC First Class,1067,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,36
1561,1004,2023-01-04,Reyansh Kumar,AC 2 Tier,559,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,15
1565,1004,2023-01-09,Arjun Sharma,AC 2 Tier,1380,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,42
1567,1004,2023-01-28,Sai Sharma,AC 2 Tier,522,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,43
1572,1004,2023-01-30,Aditya Sharma,Sleeper,1370,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,40
1583,1004,2023-01-24,Krishna Mehta,AC 3 Tier,1007,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,48
1594,1004,2023-01-28,Reyansh Singh,AC 3 Tier,393,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,6
1595,1004,2023-01-04,Aditya Gupta,Sleeper,326,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,31
1600,1004,2023-01-27,Aarav Kumar,Sleeper,983,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,12
1616,1004,2023-01-01,Aditya Singh,AC 3 Tier,897,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,38
1635,1004,2023-01-31,Vihaan Mehta,AC 3 Tier,309,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,31
1644,1004,2023-01-12,Ishaan Reddy,Sleeper,739,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,6
1645,1004,2023-01-15,Sai Reddy,AC 2 Tier,1355,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,47
1647,1004,2023-01-25,Arjun Sharma,Sleeper,992,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,47
1650,1004,2023-01-06,Arjun Chopra,AC 3 Tier,458,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,25
1655,1004,2023-01-05,Krishna Gupta,Sleeper,1352,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,0
1661,1004,2023-01-28,Aditya Singh,AC 3 Tier,815,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,6
1669,1004,2023-01-17,Shaurya Das,Sleeper,695,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,21
1675,1004,2023-01-30,Shaurya Chopra,Sleeper,658,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,40
1684,1004,2023-01-13,Vivaan Reddy,AC 3 Tier,902,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,50
1689,1004,2023-01-26,Aditya Sharma,AC 2 Tier,1399,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,27
1694,1004,2023-01-19,Shaurya Mehta,AC 2 Tier,569,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,31
1699,1004,2023-01-01,Ishaan Das,AC 3 Tier,964,Garib Rath,Ahmedabad,Kolkata,"Fri,Mon,Sat,Tue,Wed",100,38
1001,1003,2023-01-05,Sai Mehta,Sleeper,389,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,11
1007,1003,2023-01-12,Arjun Mehta,Sleeper,1447,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,7
1022,1003,2023-01-25,Aarav Kumar,Sleeper,1426,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,44
1023,1003,2023-01-16,Aditya Kumar,AC 2 Tier,829,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,29
1042,1003,2023-01-14,Sai Singh,AC 3 Tier,588,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,16
1043,1003,2023-01-07,Shaurya Sharma,Sleeper,842,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,21
1054,1003,2023-01-30,Krishna Mehta,AC 2 Tier,436,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,45
1062,1003,2023-01-12,Aditya Chopra,AC 3 Tier,711,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,27
1070,1003,2023-01-31,Ishaan Sharma,AC 2 Tier,565,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,31
1079,1003,2023-01-07,Arjun Gupta,AC First Class,1104,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,29
1093,1003,2023-01-29,Reyansh Mehta,AC 3 Tier,508,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,8
1099,1003,2023-01-14,Vivaan Patel,AC First Class,888,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,41
1103,1003,2023-01-13,Shaurya Reddy,AC First Class,869,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,19
1104,1003,2023-01-25,Vivaan Das,AC First Class,716,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,22
1109,1003,2023-01-06,Sai Reddy,AC 3 Tier,837,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,24
1120,1003,2023-01-06,Aarav Das,AC 2 Tier,729,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,50
1121,1003,2023-01-09,Reyansh Sharma,Sleeper,1258,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,5
1127,1003,2023-01-09,Aditya Patel,AC 3 Tier,846,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,5
1134,1003,2023-01-06,Aditya Reddy,AC First Class,433,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,6
1143,1003,2023-01-23,Vihaan Das,Sleeper,678,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,42
1144,1003,2023-01-26,Vivaan Mehta,AC First Class,435,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,21
1153,1003,2023-01-14,Aditya Verma,Sleeper,529,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,3
1154,1003,2023-01-14,Reyansh Chopra,AC First Class,1326,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,41
1166,1003,2023-01-30,Vivaan Gupta,Sleeper,779,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,5
1169,1003,2023-01-28,Krishna Singh,AC First Class,678,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,41
1180,1003,2023-01-14,Vihaan Chopra,AC First Class,1359,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,41
1191,1003,2023-01-22,Krishna Sharma,Sleeper,832,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,32
1193,1003,2023-01-11,Sai Kumar,AC 3 Tier,470,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,27
1195,1003,2023-01-30,Ishaan Verma,AC 2 Tier,435,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,45
1204,1003,2023-01-22,Arjun Patel,AC 3 Tier,1049,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,38
1207,1003,2023-01-04,Krishna Verma,AC 2 Tier,324,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,19
1213,1003,2023-01-26,Krishna Reddy,Sleeper,469,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,19
1215,1003,2023-01-02,Ishaan Mehta,Sleeper,330,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,49
1221,1003,2023-01-20,Reyansh Kumar,AC 2 Tier,980,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,43
1226,1003,2023-01-31,Reyansh Kumar,Sleeper,386,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,17
1230,1003,2023-01-12,Arjun Verma,AC 3 Tier,516,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,27
1232,1003,2023-01-04,Shaurya Das,AC First Class,1348,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,32
1241,1003,2023-01-07,Reyansh Reddy,AC 2 Tier,1080,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,28
1244,1003,2023-01-31,Krishna Gupta,AC 2 Tier,792,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,31
1245,1003,2023-01-04,Krishna Das,AC First Class,559,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,32
1249,1003,2023-01-04,Shaurya Kumar,AC 2 Tier,551,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,19
1252,1003,2023-01-24,Krishna Sharma,AC 2 Tier,544,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,25
1254,1003,2023-01-24,Aarav Sharma,Sleeper,499,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,44
1255,1003,2023-01-07,Vihaan Chopra,Sleeper,562,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,21
1257,1003,2023-01-05,Krishna Patel,AC First Class,1105,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,45
1260,1003,2023-01-27,Sai Das,Sleeper,1459,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,40
1266,1003,2023-01-30,Reyansh Gupta,AC First Class,892,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,28
1279,1003,2023-01-22,Reyansh Patel,AC First Class,777,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,8
1285,1003,2023-01-30,Vihaan Verma,Sleeper,1011,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,5
1291,1003,2023-01-08,Shaurya Reddy,Sleeper,688,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,41
1294,1003,2023-01-14,Shaurya Sharma,AC 3 Tier,1368,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,16
1298,1003,2023-01-26,Vihaan Sharma,AC 3 Tier,1486,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,36
1300,1003,2023-01-18,Aarav Patel,AC First Class,1180,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,42
1302,1003,2023-01-07,Reyansh Das,Sleeper,846,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,21
1303,1003,2023-01-17,Krishna Singh,AC First Class,718,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,34
1309,1003,2023-01-11,Krishna Das,AC 2 Tier,805,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,29
1310,1003,2023-01-15,Aditya Chopra,AC 3 Tier,1109,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,21
1311,1003,2023-01-15,Ishaan Mehta,AC First Class,762,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,46
1318,1003,2023-01-21,Aarav Reddy,Sleeper,253,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,34
1321,1003,2023-01-23,Ishaan Kumar,Sleeper,477,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,42
1326,1003,2023-01-18,Vivaan Das,AC First Class,1329,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,42
1334,1003,2023-01-28,Aditya Gupta,AC 3 Tier,1500,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,7
1347,1003,2023-01-30,Vihaan Das,AC 3 Tier,526,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,25
1355,1003,2023-01-27,Ishaan Kumar,AC 3 Tier,398,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,49
1360,1003,2023-01-06,Reyansh Mehta,AC 2 Tier,1238,Shatabdi Express,Chennai,Howrah,"Sat,Tue,Wed,Mon,Thu",100,50
